"YEAR","Systems_in_Violation","Perc_in_Violation","Total_Active_Systems","Total_Pop_Served_Active_Systems","Population_Served","PopServed_Percent_UsPop"
"1994",476,0.278758703889152,170757,271062524,198187,0.0761300149476224
"1995",530,0.310382590464813,170757,271062524,539648,0.205342950138871
"1996",483,0.282858096593405,170757,271062524,567901,0.214117580062226
"1997",461,0.269974290951469,170757,271062524,973349,0.363483415174104
"1998",473,0.277534926567662,170429,275726963,1734951,0.641984762418392
"1999",492,0.293300585408892,167746,276970512,697467,0.255772093062776
"2000",505,0.300865659014948,167849,283799527,1474953,0.52273192406199
"2001",430,0.259832861001505,165491,283564837,573439,0.201228586461287
"2002",569,0.352686679104709,161333,296668827,1573707,0.547138094401905
"2003",604,0.374650316033669,161217,303271016,866087,0.298539578371337
"2004",627,0.392343359885864,159809,296918738,308180,0.105250827804352
"2005",568,0.359618854664598,157945,301742175,330072,0.111693218288561
"2006",538,0.343385990106909,156675,301698586,1495526,0.501215376724154
"2007",569,0.365462801795842,155693,306537356,644313,0.213893177409072
"2008",599,0.386753530175169,154879,312127036,236226,0.0776819096765636
"2009",643,0.41881065589787,153530,313886392,296768,0.0967390947156638
"2010",622,0.388883678764575,159945,319687942,334081,0.108205936242551
"2011",514,0.326778686909144,157293,319183156,206031,0.0660951352070433
"2012",563,0.359654782514262,156539,320375275,252423,0.0803632257474017
"2013",558,0.35871556684131,155555,319392202,346411,0.109475666605921
"2014",524,0.342175031670781,153138,322451376,175485,0.0550269449532154
"2015",468,0.307890685648873,152002,322678539,1414427,0.440057305916312
"2016",483,0.319577601778519,151137,325174588,1537731,0.475889838572799
